"siteID"	"xcoord"	"ycoord"	"wgt"	"Lake_Origin"	"Chla"	"OE5"	"PTL"	"NTL"	"Turbidity"	"Chla_cond"	"OE5_cond"	"PTL_cond"	"NTL_cond"	"Turbidity_cond"
"NLA06608-0137"	-2007737.69745715	1927524.5741357	4.682523949	"Natural"	1.326	1.270762	3	82	0.43	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0169"	-1335538.29194781	1830182.36678037	4.518520298	"Man-Made"	2.592	0.987095	33	353	1.39	"Good"	"Good"	"Good"	"Poor"	"Good"
"NLA06608-0173"	-1797435.96399457	1296625.55899954	56.58094452	"Man-Made"	70.4	0.507627	57	2218	26.8	"Poor"	"Poor"	"Good"	"Good"	"Poor"
"NLA06608-0181"	-1993046.23874869	1882283.59582631	23.00536336	"Natural"	1.381	1.078791	6	514	0.58	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0193"	-1851966.1149975	3102485.61865025	7.93829747	"Man-Made"	0.302	0.220419	3	71	2.18	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-0201"	-2070895.52691448	2055276.4347961	24.80223611	"Man-Made"	0.797	1.085082	3	40	1.03	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0209"	-1950799.38857258	3000781.03632617	2.337088279	"Natural"	2.408	0.620038	4	205	0.597	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0237"	-1642996.80902903	1872188.86116929	0.941492486	"Man-Made"	1.858	0.633021	23	678	1.52	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0241"	-1282715.09440663	2249915.57565438	3.74318274	"Man-Made"	9.744	0.641064	80	774	14.9	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0245"	-2233219.88274172	2012588.88385317	23.00536336	"Man-Made"	2.656	0.413912	11	329	0.65	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-0257"	-1424780.84472101	2982413.63655867	1.69454268	"Man-Made"	1.147	1.435203	1	79	0.784	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0260"	-944620.577428524	1567356.31994855	7.461529622	"Man-Made"	1.273	0.609649	8	136	3.72	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0276"	-773809.617252079	1786531.54392203	24.83916102	"Man-Made"	1.978	0.810345	7	254	0.354	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0277"	-1409690.82244356	2316161.50625167	3.74318274	"Man-Made"	12.928	0.893205	117	451	11.7	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0290"	-1989728.80854673	2390980.01470013	3.999258837	"Man-Made"	4.304	0.521221	178	273	46.7	"Poor"	"Poor"	"Good"	"Poor"	"Poor"
"NLA06608-0306"	-1868056.63574433	2500656.59013334	4.084626797	"Man-Made"	38.733	0.380643	271	1525	96.3	"Poor"	NA	"Good"	"Poor"	"Poor"
"NLA06608-0337"	-1967538.31579232	3099323.37439171	7.93829747	"Natural"	7.84	0.9505	23	586	2.17	"Poor"	"Good"	"Poor"	"Poor"	"Good"
"NLA06608-0340"	-884320.218236721	1450107.69243697	27.7848793	"Man-Made"	9.904	0.933972	23	333	4.97	"Poor"	"Good"	"Good"	"Poor"	"Good"
"NLA06608-0373"	-1920181.17126097	1458564.99411215	24.80223611	"Man-Made"	0.68	0.61433	1	104	0.36	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0393"	-2116604.54311718	1926167.08019636	4.682523949	"Man-Made"	1.239	0.507911	8	101	1.67	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-0402"	-2247455.21567481	2544833.27512596	168.5476261	"Man-Made"	73.728	0.415991	176	2287	10.2	"Poor"	"Poor"	"Poor"	"Poor"	"Poor"
"NLA06608-0406"	-1994097.202045	2737125.24452742	4.40366347	"Natural"	1.232	1.002059	4	172	0.792	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0425"	-1360265.11886321	1843966.42952623	4.975432594	"Man-Made"	16.16	0.310403	234	1433	8.09	"Poor"	"Poor"	"Poor"	"Poor"	"Poor"
"NLA06608-0449"	-1614655.74363002	2978212.51409778	21.49824829	"Natural"	4.391	0.535435	16	404	2.56	"Poor"	"Poor"	"Poor"	"Good"	"Good"
"NLA06608-0468"	-902251.607776627	1873745.93119659	325.1141919	"Natural"	0.643	0.725629	8	179	0.377	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0495"	-986483.762996025	1772344.11493919	10.0994059	"Man-Made"	1.774	1.244167	11	136	0.72	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0497"	-1293125.08199167	2230807.39049616	9.206236461	"Man-Made"	0.858	0.853306	17	156	4.91	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0501"	-2287340.92370941	1979337.80707591	20.89269613	"Man-Made"	0.634	0.615158	6	182	0.806	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0511"	-998044.298851504	1748765.12236556	9.171940265	"Man-Made"	2.352	1.019953	13	112	3	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0529"	-1762288.43476716	2905819.52017413	2.337088279	"Natural"	26.08	0.622673	42	508	7.01	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0561"	-1571345.7464914	2606689.14085877	2.428401958	"Natural"	0.139	1.152573	5	86	0.683	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0564"	-884649.632799254	1482106.33736275	17.02186818	"Man-Made"	6.648	0.888687	14	217	3.69	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0565"	-2253458.55257727	1888036.08927857	85.66624761	"Man-Made"	40.896	0.547093	81	704	9.26	"Poor"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-0569"	-1488197.03974453	1411671.42460484	1.29530541	"Man-Made"	54	0.101585	518	2188	14.5	"Poor"	"Poor"	"Poor"	"Poor"	"Poor"
"NLA06608-0581"	-1475956.00701564	2394117.08898526	2.428401958	"Man-Made"	1.928	0.908006	8	241	0.711	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0585"	-1918444.46937527	2059925.45971446	1.036696107	"Man-Made"	2.528	0.600173	105	505	38.4	"Good"	"Good"	"Good"	"Good"	"Poor"
"NLA06608-0593"	-1934440.28186527	3125887.68179493	32.54937288	"Man-Made"	10.688	0.953999	4	203	0.722	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0596"	-886606.816449164	1832259.55325176	10.0994059	"Man-Made"	0.986	1.028596	1	96	0.787	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0597"	-1649408.66974272	2463834.20453737	2.428401958	"Man-Made"	7.8	1.070009	22	361	5.82	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0614"	-2169024.39550535	2578328.64745577	3.999258837	"Man-Made"	1.216	1.179855	8	259	0.825	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0617"	-1395340.40333784	1447936.12831505	1.29530541	"Man-Made"	2.443	1.22057	40	513	11	"Good"	"Good"	"Poor"	"Poor"	"Poor"
"NLA06608-0625"	-1732346.48694773	2643770.39063755	168.5476261	"Natural"	0.615	0.83586	1	55	0.53	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0637"	-1266560.9661024	2002535.62603246	2.511888266	"Man-Made"	7.408	1.187821	21	454	9.23	"Poor"	"Good"	"Poor"	"Poor"	"Poor"
"NLA06608-0641"	-1605601.65904035	3008111.03482282	21.49824829	"Natural"	25.44	0.690215	49	737	3.98	"Poor"	"Good"	"Poor"	"Poor"	"Good"
"NLA06608-0649"	-2052081.26271738	1976684.63598044	22.52455543	"Man-Made"	3.64	1.18819	9	95	1.23	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0650"	-1213488.65767409	2504392.24425607	4.035550348	"Natural"	6.896	0.83932	23	466	2.5	"Poor"	"Good"	"Poor"	"Poor"	"Good"
"NLA06608-0658"	-2210710.48710238	2665975.67027729	3.999258837	"Natural"	1.116	1.160405	5	110	0.732	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0671"	-1200982.17574909	2055314.40492787	240.7572686	"Natural"	1.115	0.602032	19	380	2.4	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0677"	-1809285.42194961	2411947.58587187	3.709520477	"Natural"	25.72	0.344305	150	1864	35.9	"Good"	NA	"Good"	"Poor"	"Poor"
"NLA06608-0678"	-2036169.05998211	2608149.7873842	4.40366347	"Natural"	8.267	0.751243	52	462	3.14	"Poor"	"Good"	"Poor"	"Poor"	"Good"
"NLA06608-0687"	-1031278.46761972	1840040.28008872	37.60767404	"Man-Made"	2.28	0.610778	13	198	1.06	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0693"	-2048014.07325727	1821946.35036074	20.89269613	"Man-Made"	1.464	0.805327	4	79	0.743	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0713"	-2034180.96830095	2079467.74660568	4.682523949	"Man-Made"	1.652	1.219443	7	138	1.86	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0715"	-789933.187511318	1950466.31160865	9.171940265	"Man-Made"	3.545	1.125067	4	123	0.588	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0721"	-2006998.01724515	2892653.5259428	7.93829747	"Man-Made"	7.104	0.584761	21	441	2.75	"Poor"	"Poor"	"Poor"	"Poor"	"Good"
"NLA06608-0733"	-1668096.24082973	1752990.27410535	1.224245099	"Man-Made"	2.847	0.453515	28	993	37.7	"Good"	"Poor"	"Good"	"Good"	"Poor"
"NLA06608-0769"	-1550782.66212872	2887933.61223505	4.035550348	"Natural"	15.36	1.055902	16	384	4.14	"Poor"	"Good"	"Poor"	"Good"	"Good"
"NLA06608-0770"	-1464525.83874816	1268275.78831065	4.473949586	"Man-Made"	6.815	0.724083	28	1455	8.25	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0785"	-1786076.44063061	2876096.60252623	7.363183584	"Man-Made"	6.568	0.788573	15	2621	2.15	"Good"	"Good"	"Poor"	"Good"	"Good"
"NLA06608-0794"	-1116574.29145394	2297582.77165258	3.108017713	"Natural"	1.056	1.007528	3	91	0.416	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0797"	-1596830.14908097	1986206.75608839	0.941492486	"Man-Made"	4.24	0.67744	24	418	5.32	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0809"	-1280157.0263084	1340612.57815857	2.02555244	"Man-Made"	3.008	1.021565	13	546	2.01	"Poor"	"Good"	"Poor"	"Good"	"Good"
"NLA06608-0825"	-1522836.3418828	1764427.27333466	2.500256737	"Man-Made"	39.696	1.079921	88	1001	21	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0833"	-1312703.96014256	3000570.25595679	8.362490243	"Natural"	0.792	1.215118	1	104	0.489	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0834"	-1423955.4224844	1281896.55191314	1.29530541	"Man-Made"	8.053	0.591026	23	583	2.54	"Poor"	"Poor"	"Poor"	"Poor"	"Good"
"NLA06608-0836"	-1207933.83853632	1495364.58920201	1.201463105	"Man-Made"	2.695	0.602247	51	1184	3.3	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0837"	-1438020.37299267	2395051.48125985	3.399432485	"Natural"	55.584	0.518337	109	1460	9.95	"Poor"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-0842"	-1062739.70512881	2519611.74639097	40.31619797	"Natural"	1.557	0.764158	13	71	0.643	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0849"	-2119049.57378549	3109790.2367664	2.337088279	"Natural"	4.696	1.074523	5	189	0.649	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0850"	-1282920.21005468	2076676.60212105	4.975432594	"Man-Made"	2.304	1.181895	19	486	1.71	"Good"	"Good"	"Poor"	"Good"	"Good"
"NLA06608-0870"	-2045989.42980821	2651771.65417044	3.999258837	"Man-Made"	0.488	0.833225	43	87	0.552	"Good"	"Good"	"Good"	"Poor"	"Good"
"NLA06608-0873"	-1376556.51052629	1413579.2838627	3.185761615	"Man-Made"	9.98	0.519095	141	433	111	"Poor"	"Poor"	"Poor"	"Poor"	"Poor"
"NLA06608-0877"	-1718566.34136757	1317012.11697645	1.091128324	"Man-Made"	11.8	0.51549	14	878	3.84	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-0881"	-1728598.01523918	2611534.46889653	4.40366347	"Man-Made"	15.886	0.695923	42	513	4.24	"Poor"	"Good"	"Poor"	"Poor"	"Good"
"NLA06608-0885"	-1955614.19135918	1408284.02531444	56.58094452	"Man-Made"	23.04	0.393728	1386	865	8.74	"Good"	"Poor"	"Good"	"Poor"	"Good"
"NLA06608-0889"	-1693804.53716255	2207029.64317017	1.036696107	"Man-Made"	11.925	0.348937	204	404	33.8	"Good"	"Poor"	"Good"	"Poor"	"Poor"
"NLA06608-0895"	-1215612.11636276	1340851.66336877	2.02555244	"Man-Made"	13.856	0.11393	237	520	136	"Poor"	"Poor"	"Poor"	"Poor"	"Poor"
"NLA06608-0905"	-2024428.91628459	2050069.37630513	1.117669007	"Man-Made"	1.294	0.724776	12	358	0.534	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0906"	-1183873.99513165	2386884.06903209	10.82677028	"Natural"	0.832	1.209855	1	111	0.446	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0916"	-782391.883417382	1789036.45186989	37.60767404	"Man-Made"	1.727	0.715241	16	237	10.8	"Good"	"Good"	"Good"	"Good"	"Poor"
"NLA06608-0925"	-1635415.1455141	1610523.70167668	1.224245099	"Man-Made"	1.018	0.682897	1	1160	0.3	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0927"	-1150878.75854005	1991560.78072628	2.500256737	"Natural"	2.715	1.138814	18	498	1.11	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0929"	-1330689.24890341	2698223.73887608	1.69454268	"Man-Made"	1.561	1.203044	14	354	1.09	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0933"	-1756040.46267216	2531829.66021803	4.40366347	"Man-Made"	8.16	0.928774	136	775	15.5	"Poor"	"Good"	"Poor"	"Poor"	"Poor"
"NLA06608-0934"	-2062883.34120342	2589273.17366615	1.750361848	"Natural"	0.067	0.917055	1	5	0.237	"Good"	"Good"	"Good"	"Good"	"Good"
