"siteID"	"xcoord"	"ycoord"	"wgt"	"Lake_Origin"	"Chla"	"OE5"	"PTL"	"NTL"	"Turbidity"	"Chla_cond"	"OE5_cond"	"PTL_cond"	"NTL_cond"	"Turbidity_cond"
"NLA06608-1426"	-2242102.08192267	2608876.60043618	4.40366347	"Natural"	12.368	0.484702	35	557	1.73	"Poor"	"Poor"	"Poor"	"Poor"	"Good"
"NLA06608-1439"	-1194375.19871563	2009916.51750348	4.614972384	"Man-Made"	3.332	1.026998	12	273	1.92	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1445"	-1837445.79884576	2435572.62382062	4.084626797	"Man-Made"	16.667	0.613944	2670	5009	11.4	"Good"	"Good"	"Poor"	"Poor"	"Good"
"NLA06608-1446"	-2059468.75000076	2595287.21986913	10.83066738	"Natural"	0.779	0.91738	4	228	0.664	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1455"	-1019244.76056952	1843843.27023753	325.1141919	"Man-Made"	8.8	0.808539	37	429	2.2	"Poor"	"Good"	"Poor"	"Poor"	"Good"
"NLA06608-1461"	-1969908.54676101	1854752.14760046	4.682523949	"Man-Made"	18.216	0.78079	47	708	6.81	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1473"	-1562113.90347777	2938536.60584779	2.428401958	"Man-Made"	2.007	1.252099	8	181	0.722	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1481"	-2090064.26809726	2220696.38091798	61.00029473	"Natural"	0.489	1.166875	3	135	0.351	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1483"	-822728.171782809	1935430.53317311	9.171940265	"Man-Made"	4.805	1.028285	13	274	0.873	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1489"	-2004147.75715433	2948170.2790745	21.49824829	"Natural"	17.94	0.421158	18	721	1.9	"Poor"	"Poor"	"Poor"	"Good"	"Good"
"NLA06608-1521"	-1293843.01926185	2245163.67492624	3.399432485	"Man-Made"	82.512	0.620605	113	1351	8.06	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1529"	-1849323.2852602	2182371.14177264	1.224245099	"Man-Made"	6.04	0.838219	55	649	9.48	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1537"	-1536917.87315315	2963536.7142441	15.02738514	"Natural"	2.184	1.119344	8	138	0.67	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1562"	-1155568.43122566	2264372.76798446	10.04239227	"Man-Made"	2.944	1.070218	16	348	1.65	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1577"	-1276178.62733644	1329355.49635414	1.176352744	"Man-Made"	4.32	0.916658	16	484	2.09	"Poor"	"Good"	"Poor"	"Good"	"Good"
"NLA06608-1593"	-1486713.26236848	1409373.2203499	1.176352744	"Man-Made"	6.336	0.81684	126	746	2.29	"Poor"	"Good"	"Poor"	"Poor"	"Good"
"NLA06608-1602"	-1402732.70337231	1281244.51819883	1.29530541	"Man-Made"	4.245	0.393562	18	474	2.24	"Poor"	"Poor"	"Poor"	"Good"	"Good"
"NLA06608-1610"	-1080579.14537387	2533849.50329791	7.59453197	"Natural"	0.502	1.23385	3	48	0.517	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1617"	-1996185.40080946	3013234.2218902	7.93829747	"Natural"	7.248	0.759635	45	239	1.61	"Poor"	"Good"	"Good"	"Poor"	"Good"
"NLA06608-1631"	-1109621.63663091	2050488.18763129	4.191162476	"Man-Made"	27.576	0.809584	130	1209	7.98	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1633"	-1323250.13852911	2558466.77048341	1.69454268	"Man-Made"	1.52	1.136116	19	366	1.19	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1638"	-2031074.65310875	2653969.17846515	3.999258837	"Natural"	0.23	1.083062	6	50	0.339	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1641"	-1387754.85113989	1441725.08115655	1.176352744	"Natural"	5.66	0.788596	185	845	67.6	"Poor"	"Good"	"Poor"	"Poor"	"Poor"
"NLA06608-1674"	-1171358.50371214	2486567.79629243	299.2804077	"Natural"	2.32	0.800769	35	1043	1.33	"Good"	"Good"	"Poor"	"Poor"	"Good"
"NLA06608-1675"	-874078.915736472	2014335.50575757	24.83916102	"Man-Made"	3.008	0.978728	16	521	1.35	"Poor"	"Good"	"Poor"	"Good"	"Good"
"NLA06608-1695"	-1200698.97881079	2068560.59913274	18.5272727	"Natural"	2.288	0.724549	19	216	3.13	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1717"	-2092619.57653182	1892979.66458787	23.00536336	"Man-Made"	0.878	1.098783	3	79	0.83	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1739"	-802422.335372988	1923159.75692659	3.376300757	"Man-Made"	2.23	0.914463	7	157	0.517	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1748"	-886684.609883372	1853828.29247842	10.0994059	"Man-Made"	1.035	1.024256	4	131	0.361	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1753"	-1461691.87454682	1738911.75844416	2.500256737	"Man-Made"	1.064	1.188877	6	267	0.58	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1781"	-2292120.60032092	1995935.35246583	4.682523949	"Man-Made"	14.56	1.163565	58	789	12.5	"Good"	"Good"	"Good"	"Good"	"Good"
